model_key,model_label,failure_reason,count
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_mismatch,25
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_receiver_coverage,13
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_service_coverage,13
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,semantic,13
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,numeric_grounding,10
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,extraneous,7
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,dataflow,6
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,enum_grounding,5
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,arg_type,4
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,service_match,3
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_on,2
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:television_on,1
