line_no,row_no,dataset_index,model_label,request_model,selected_model,command,det_pass,sdet,script_similarity,fatal_reasons,reference_script,predicted_script,predicted_services
1,1,1,local_8b (version0_13),gpt_mg.version0_13,local_8b,식기세척기를 건조 모드로 설정해줘.,True,0.921569,0.921569,,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")",dishwasherMode_setDishwasherMode
2,2,2,local_8b (version0_13),gpt_mg.version0_13,local_8b,오븐의 작동 시간을 5분 늘려줘.,False,0.0,0.333333,unknown_services:ovenControl_duration,(#Oven).Oven_AddMoreTime(300),"ovenDuration := (#Oven).ovenControl_duration
(#Oven).ovenControl_setDuration(ovenDuration + 300)",ovenControl_duration
3,3,3,local_8b (version0_13),gpt_mg.version0_13,local_8b,밥솥을 조리 모드로 30분 작동시켜.,False,0.0,0.244541,unknown_services:dishwasherOperatingState_startWatering,"(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)","if ((#Dishwasher).dishwasherMode_dishwasherMode == ""idle"") {
  (#Dishwasher).dishwasherMode_setDishwasherMode(""cooking"")
  (#Dishwasher).dishwasherOperatingState_startWatering()
}","dishwasherMode_dishwasherMode, dishwasherMode_setDishwasherMode, dishwasherOperatingState_startWatering"
4,4,4,local_8b (version0_13),gpt_mg.version0_13,local_8b,사이렌을 응급모드로 울려줘.,True,0.904762,0.904762,,"(#Siren).Siren_SetSirenMode(""emergency"")","(#Siren).sirenMode_setSirenMode(""emergency"")",sirenMode_setSirenMode
5,5,5,local_8b (version0_13),gpt_mg.version0_13,local_8b,스피커의 볼륨을 30으로 설정해줘.,True,0.735294,0.735294,,(#Speaker).Speaker_SetVolume(30),(#Speaker).audioVolume_setVolume(30),audioVolume_setVolume
6,6,6,local_8b (version0_13),gpt_mg.version0_13,local_8b,TV 채널을 하나 내려줘.,True,0.773333,0.773333,,(#Television).Television_ChannelDown(),(#Television).tvChannel_channelDown(),tvChannel_channelDown
7,7,7,local_8b (version0_13),gpt_mg.version0_13,local_8b,TV로 7번 채널을 틀어줘.,True,0.753247,0.753247,,(#Television).Television_SetChannel(7),(#Television).tvChannel_setTvChannel(7),tvChannel_setTvChannel
8,8,8,local_8b (version0_13),gpt_mg.version0_13,local_8b,현재 온도를 스피커로 알려줘.,True,0.513369,0.513369,,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")",(#Speaker).mediaPlayback_speak((#TemperatureSensor).temperatureMeasurement_temperature),mediaPlayback_speak
9,9,9,local_8b (version0_13),gpt_mg.version0_13,local_8b,외부 온도를 스피커로 출력해줘.,True,0.446809,0.446809,,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")",(#Speaker).mediaPlayback_speak((#WeatherProvider).temperatureMeasurement_temperature),mediaPlayback_speak
10,10,10,local_8b (version0_13),gpt_mg.version0_13,local_8b,현재 습도를 스피커로 말해줘.,True,0.434286,0.434286,,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")",(#Speaker).mediaPlayback_speak((#HumiditySensor).relativeHumidityMeasurement_humidity),mediaPlayback_speak
11,11,11,local_8b (version0_13),gpt_mg.version0_13,local_8b,외부 습도를 스피커로 말해줘.,True,0.555556,0.555556,,"
hum = (#WeatherProvider).WeatherProvider_HumidityWeather

(#Speaker).Speaker_Speak(""외부 습도는 "" + hum + ""%입니다"")",(#Speaker).mediaPlayback_speak((#WeatherProvider).weatherProvider_humidityWeather),mediaPlayback_speak
12,12,12,local_8b (version0_13),gpt_mg.version0_13,local_8b,오늘의 날씨를 스피커로 출력해줘.,False,0.0,0.0,missing_prediction_code | generation_error:response_parse_failed: Invalid \escape: line 5 column 118 (char 187),"
weather = (#WeatherProvider).WeatherProvider_Weather

(#Speaker).Speaker_Speak(""오늘 날씨는 "" + weather + ""입니다"")",,
13,13,13,local_8b (version0_13),gpt_mg.version0_13,local_8b,미세먼지 농도를 스피커로 알려줘.,True,0.262857,0.262857,,"
dust = (#AirQualitySensor).AirQualitySensor_DustLevel

(#Speaker).Speaker_Speak(""미세먼지 농도는 "" + dust + ""입니다"")",(#Speaker).mediaPlayback_speak((#WeatherProvider).weatherProvider_pm25Weather),mediaPlayback_speak
14,14,14,local_8b (version0_13),gpt_mg.version0_13,local_8b,외부 미세먼지 농도를 스피커로 알려줘.,True,0.508475,0.508475,,"
dust = (#WeatherProvider).WeatherProvider_Pm10Weather

(#Speaker).Speaker_Speak(""외부 미세먼지 농도는 "" + dust + ""입니다"")",(#Speaker).mediaPlayback_speak((#WeatherProvider).weatherProvider_pm25Weather),mediaPlayback_speak
15,15,15,local_8b (version0_13),gpt_mg.version0_13,local_8b,"클라우드로 고양이 사진을 생성하고 ""cat.png""로 저장해줘.",False,0.0,0.394231,unknown_services:imageGeneration_generateImage,"
img = (#CloudServiceProvider).CloudServiceProvider_GenerateImage(""Generate a cat image"")

(#CloudServiceProvider).CloudServiceProvider_SaveToFile(img, ""cat.png"")","(#Cloud).imageGeneration_generateImage(""cat"", ""cat.png"")",imageGeneration_generateImage
16,16,16,local_8b (version0_13),gpt_mg.version0_13,local_8b,충전기의 전력소모량을 스피커로 출력해줘.,True,0.241379,0.241379,,"
power = (#Charger).Charger_Power

(#Speaker).Speaker_Speak(""전력소모량은 "" + power + ""입니다"")",(#SmartPlug).powerMeter_powerConsumption,
17,17,17,local_8b (version0_13),gpt_mg.version0_13,local_8b,오늘의 메뉴를 스피커로 출력해줘.,True,0.493671,0.493671,,"
menu = (#MenuProvider).MenuProvider_TodayMenu

(#Speaker).Speaker_Speak(""오늘의 메뉴는 "" + menu + ""입니다"")",(#Speaker).mediaPlayback_speak((#MenuProvider).menuProvider_todayMenu),mediaPlayback_speak
18,18,18,local_8b (version0_13),gpt_mg.version0_13,local_8b,오늘의 301동 점심 메뉴를 스피커로 알려줘.,True,0.410256,0.410256,,"
menu = (#MenuProvider).MenuProvider_GetMenu(""오늘 301동식당 점심"")

(#Speaker).Speaker_Speak(""오늘의 메뉴는 "" + menu + ""입니다"")","(#Speaker).mediaPlayback_speak(""오늘의 301동 점심 메뉴는 [메뉴 이름]입니다."")",mediaPlayback_speak
19,19,19,local_8b (version0_13),gpt_mg.version0_13,local_8b,클라우드 AI한테 llm이 무엇인지 질문하고 답을 스피커로 출력해줘.,True,0.290698,0.290698,,"
answer = (#CloudServiceProvider).CloudServiceProvider_ChatWithAI(""What is LLM?"")

(#Speaker).Speaker_Speak(answer)","(#Speaker).mediaPlayback_speak(""llm stands for Large Language Model"")",mediaPlayback_speak
20,20,20,local_8b (version0_13),gpt_mg.version0_13,local_8b,"조명의 색조를 200, 채도는 50으로 설정해줘.",True,0.461538,0.461538,,"
(#Light).Light_MoveToHueAndSaturation(200, 50)","(#Light).colorControl_setColor({""hue"":200,""saturation"":50})",colorControl_setColor
21,21,21,local_8b (version0_13),gpt_mg.version0_13,local_8b,조명 색을 노란색으로 바꿔줘.,True,0.313253,0.313253,,"
(#Light).Light_MoveToRGB(255, 255, 0)","(#Light).colorControl_setColor({""h"": 60, ""s"": 100})",colorControl_setColor
22,22,22,local_8b (version0_13),gpt_mg.version0_13,local_8b,금고를 잠그어줘.,False,0.0,0.736842,unknown_services:lock_lock,"
(#Safe).Safe_Lock()",(#Safe).lock_lock(),lock_lock
23,23,23,local_8b (version0_13),gpt_mg.version0_13,local_8b,문을 닫아줘.,True,0.765957,0.765957,,"
(#Door).Door_Close()",(#Door).doorControl_close(),doorControl_close
24,24,24,local_8b (version0_13),gpt_mg.version0_13,local_8b,펌프를 일반 모드로 설정해줘.,True,0.674419,0.674419,,"
(#Pump).Pump_SetPumpMode(""normal"")","(#Pump).pumpOperationMode_setOperationMode(""normal"")",pumpOperationMode_setOperationMode
25,25,25,local_8b (version0_13),gpt_mg.version0_13,local_8b,로봇 청소기를 멈춰줘.,True,0.358491,0.358491,,"
(#RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""stop"")",(#RobotCleaner).switch_off(),switch_off
26,26,26,local_8b (version0_13),gpt_mg.version0_13,local_8b,"스피커로 ""music.mp3"" 재생해줘.",True,0.717949,0.717949,,"
(#Speaker).Speaker_Play(""music.mp3"")","(#Speaker).mediaPlayback_play(""music.mp3"")",mediaPlayback_play
27,27,27,local_8b (version0_13),gpt_mg.version0_13,local_8b,스피커 볼륨을 최대로 해줘.,False,0.0,0.0,missing_reference,,(#Speaker).audioVolume_setVolume(100),audioVolume_setVolume
