model_key,model_label,failure_reason,count
gpt41_mini,GPT-4.1-mini,gt_mismatch,47
gpt41_mini,GPT-4.1-mini,dataflow,32
gpt41_mini,GPT-4.1-mini,numeric_grounding,29
gpt41_mini,GPT-4.1-mini,semantic,22
gpt41_mini,GPT-4.1-mini,gt_receiver_coverage,18
gpt41_mini,GPT-4.1-mini,gt_service_coverage,12
gpt41_mini,GPT-4.1-mini,arg_type,10
gpt41_mini,GPT-4.1-mini,extraneous,10
gpt41_mini,GPT-4.1-mini,enum_grounding,3
gpt41_mini,GPT-4.1-mini,precondition,3
gpt41_mini,GPT-4.1-mini,service_match,1
gpt41_mini,GPT-4.1-mini,unknown_service:multibutton_button2,1
