model_key,model_label,failure_reason,count
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_mismatch,20
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,arg_type,10
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,semantic,9
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,extraneous,7
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,precondition,7
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,service_match,7
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:set,1
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_mismatch,20
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,arg_type,7
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,semantic,3
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,service_match,1
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,unknown_service:temperature_sensor_temperature,1
