model_key,model_label,failure_reason,count
gpt41_mini,GPT-4.1-mini,arg_type,30
gpt41_mini,GPT-4.1-mini,extraneous,30
gpt41_mini,GPT-4.1-mini,gt_mismatch,30
gpt41_mini,GPT-4.1-mini,numeric_grounding,30
gpt41_mini,GPT-4.1-mini,semantic,19
gpt41_mini,GPT-4.1-mini,dataflow,11
gpt41_mini,GPT-4.1-mini,gt_receiver_coverage,7
gpt41_mini,GPT-4.1-mini,enum_grounding,6
gpt41_mini,GPT-4.1-mini,gt_service_coverage,6
gpt41_mini,GPT-4.1-mini,precondition,3
gpt41_mini,GPT-4.1-mini,service_match,2
gpt41_mini,GPT-4.1-mini,unknown_service:temperaturemeasurement_temperature,2
gpt41_mini,GPT-4.1-mini,unknown_service:mediaplayback_speak,1
