row_no,category,command_eng,command_kor,gt_name_display,service_list_schema,gt_code,generated_code,det_score,det_pass,det_profile,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,failure_reasons,service_list_retrieval_categories_display,prompt_context_mode,prompt_context_note,prompt_context_effective_topk,prompt_context_injected_categories,prompt_context_displayed_categories,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories,generation_error_type
61,3,"If the audio recorder is recording, stop recording and save as test.mp3; otherwise, start recording.",녹음기가 녹음중이면 녹음을 중지하고 test.mp3로 저장해줘. 녹음중이 아니면 녹음을 시작해줘.,IfAudioRecorderIsRecordingStopRecordingSave,service_list_ver2.0.1.json,"if ((#AudioRecorder).recorderstatus == ""recording"") {

    (#AudioRecorder).audiorecorder_recordstop(""test.mp3"")

} else {

    (#AudioRecorder).audiorecorder_recordstart()

}","if ((#AudioRecorder).audiorecorder_recordstatus == ""recording"") {
  (#AudioRecorder).audiorecorder_recordstop(""test.mp3"")
} else {
  (#AudioRecorder).audiorecorder_recordstart()
}",97.6651,True,strict,False,0.983019,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","AudioRecorder, SoundSensor, Camera, ArmRobot, Speaker, Siren, AirQualitySensor, Plug, PressureSensor, Charger",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""AudioRecorder"", ""SoundSensor"", ""Camera"", ""ArmRobot"", ""Speaker"", ""Siren"", ""AirQualitySensor"", ""Plug"", ""PressureSensor"", ""Charger""]","[""AudioRecorder"", ""SoundSensor"", ""Camera"", ""ArmRobot"", ""Speaker"", ""Siren"", ""AirQualitySensor"", ""Plug"", ""PressureSensor"", ""Charger""]",27306,87,27393,2.5022,7.7787,10947.5661,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""AudioRecorder"", ""SoundSensor"", ""Camera"", ""ArmRobot"", ""Speaker"", ""Siren"", ""AirQualitySensor"", ""Plug"", ""PressureSensor"", ""Charger""]",
62,3,Stop charging if the voltage is 220V or higher.,"충전 전압이 220볼트 이상이면, 충전을 멈춰줘.",StopChargingIfVoltageIs220VOrHigher,service_list_ver2.0.1.json,"if ((#Charger).charger_voltage >= 220000) {

    (#Charger).switch_off()

}","if ((#Charger).charger_voltage >= 220000) {
  (#Charger).switch_off()
}",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Charger, Plug, ArmRobot, CarbonDioxideSensor, PresenceVitalSensor, ColorControl, Pump, LevelControl, AudioRecorder, PressureSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Charger"", ""Plug"", ""ArmRobot"", ""CarbonDioxideSensor"", ""PresenceVitalSensor"", ""ColorControl"", ""Pump"", ""LevelControl"", ""AudioRecorder"", ""PressureSensor""]","[""Charger"", ""Plug"", ""ArmRobot"", ""CarbonDioxideSensor"", ""PresenceVitalSensor"", ""ColorControl"", ""Pump"", ""LevelControl"", ""AudioRecorder"", ""PressureSensor""]",26289,55,26344,2.6405,3.6228,9976.8983,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Charger"", ""Plug"", ""ArmRobot"", ""CarbonDioxideSensor"", ""PresenceVitalSensor"", ""ColorControl"", ""Pump"", ""LevelControl"", ""AudioRecorder"", ""PressureSensor""]",
63,3,"If the cloud service is activated, upload test.png file to the cloud.","클라우드 서비스가 활성화되어있으면, test.png 파일을 클라우드에 업로드해줘.",IfCloudServiceIsActivatedUploadTestPngFile,service_list_ver2.0.1.json,"if ((#CloudServiceProvider).cloudserviceprovider_isavailable == true) {

    (#CloudServiceProvider).cloudserviceprovider_uploadfile(""test.png"")

}","if ((#CloudServiceProvider).cloudserviceprovider_chatsession != """") {
  (#CloudServiceProvider).cloudserviceprovider_uploadfile(""test.png"")
}",69.9,False,strict,False,0.831343,0.5,0.5,1.0,1.0,1.0,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","RainSensor, CloudServiceProvider, MenuProvider, LevelControl, EmailProvider, WeatherProvider, Charger, ColorControl, Button, AirQualitySensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""RainSensor"", ""CloudServiceProvider"", ""MenuProvider"", ""LevelControl"", ""EmailProvider"", ""WeatherProvider"", ""Charger"", ""ColorControl"", ""Button"", ""AirQualitySensor""]","[""RainSensor"", ""CloudServiceProvider"", ""MenuProvider"", ""LevelControl"", ""EmailProvider"", ""WeatherProvider"", ""Charger"", ""ColorControl"", ""Button"", ""AirQualitySensor""]",27939,67,28006,2.1832,3.1572,12827.959,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""RainSensor"", ""CloudServiceProvider"", ""MenuProvider"", ""LevelControl"", ""EmailProvider"", ""WeatherProvider"", ""Charger"", ""ColorControl"", ""Button"", ""AirQualitySensor""]",
64,3,"If the oven is in grill mode, add 4 more minutes.","오븐이 그릴 모드이면, 시간을 4분 더 추가해줘",IfOvenIsInGrillModeAdd4More,service_list_ver2.0.1.json,"if ((#Oven).oven_ovenmode == ""grill"") {

    (#Oven).oven_addmoretime(240)

}","if ((#Oven).oven_ovenmode == ""grill"") {
  (#Oven).oven_addmoretime(240)
}",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Oven, RiceCooker, MenuProvider, ArmRobot, Dishwasher, Siren, Clock, SmokeDetector, AirConditioner, Button",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""ArmRobot"", ""Dishwasher"", ""Siren"", ""Clock"", ""SmokeDetector"", ""AirConditioner"", ""Button""]","[""Oven"", ""RiceCooker"", ""MenuProvider"", ""ArmRobot"", ""Dishwasher"", ""Siren"", ""Clock"", ""SmokeDetector"", ""AirConditioner"", ""Button""]",27226,65,27291,1.8091,2.7808,15085.4016,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""ArmRobot"", ""Dishwasher"", ""Siren"", ""Clock"", ""SmokeDetector"", ""AirConditioner"", ""Button""]",
65,3,"If the rice cooker is on keep-warm mode, switch it to cooking mode.","밥솥이 보온 모드이면, 조리 모드로 변경해줘.",IfRiceCookerIsOnKeepWarmModeSwitch,service_list_ver2.0.1.json,"if ((#RiceCooker).ricecooker_ricecookermode == ""keepWarm"") {

    (#RiceCooker).ricecooker_setricecookermode(""cooking"")

}","if ((#RiceCooker).ricecooker_ricecookermode == ""keepWarm"") {
  (#RiceCooker).ricecooker_setricecookermode(""cooking"")
}",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"RiceCooker, Oven, ArmRobot, AirConditioner, Dishwasher, RobotVacuumCleaner, Switch, TemperatureSensor, Pump, CarbonDioxideSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""RiceCooker"", ""Oven"", ""ArmRobot"", ""AirConditioner"", ""Dishwasher"", ""RobotVacuumCleaner"", ""Switch"", ""TemperatureSensor"", ""Pump"", ""CarbonDioxideSensor""]","[""RiceCooker"", ""Oven"", ""ArmRobot"", ""AirConditioner"", ""Dishwasher"", ""RobotVacuumCleaner"", ""Switch"", ""TemperatureSensor"", ""Pump"", ""CarbonDioxideSensor""]",26125,73,26198,1.884,2.8518,13905.5202,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""RiceCooker"", ""Oven"", ""ArmRobot"", ""AirConditioner"", ""Dishwasher"", ""RobotVacuumCleaner"", ""Switch"", ""TemperatureSensor"", ""Pump"", ""CarbonDioxideSensor""]",
66,3,"If today is holiday, send an email to ""test@example.com"" with the subject ""Holiday"" and the message ""Today is holiday."".","오늘이 공휴일이면 ""test@example.com""으로 ""오늘은 공휴일입니다.""라는 내용을 ""공휴일"" 제목으로 이메일을 보내줘.",IfTodayIsHolidaySendEmailToTestExample,service_list_ver2.0.1.json,"if ((#Clock).clock_isholiday == true) {

    (#EmailProvider).emailprovider_sendmail(""test@example.com"", ""Holiday"", ""Today is holiday."")

}","if ((#Clock).clock_isholiday == true) {
  (#EmailProvider).emailprovider_sendmail(""test@example.com"", ""공휴일"", ""오늘은 공휴일입니다."")
}",97.6813,True,strict,False,0.93625,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","EmailProvider, Clock, ArmRobot, MenuProvider, Button, Charger, PresenceVitalSensor, TapDialSwitch, CarbonDioxideSensor, ContactSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""EmailProvider"", ""Clock"", ""ArmRobot"", ""MenuProvider"", ""Button"", ""Charger"", ""PresenceVitalSensor"", ""TapDialSwitch"", ""CarbonDioxideSensor"", ""ContactSensor""]","[""EmailProvider"", ""Clock"", ""ArmRobot"", ""MenuProvider"", ""Button"", ""Charger"", ""PresenceVitalSensor"", ""TapDialSwitch"", ""CarbonDioxideSensor"", ""ContactSensor""]",27445,75,27520,2.23,3.1869,12340.8072,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""EmailProvider"", ""Clock"", ""ArmRobot"", ""MenuProvider"", ""Button"", ""Charger"", ""PresenceVitalSensor"", ""TapDialSwitch"", ""CarbonDioxideSensor"", ""ContactSensor""]",
67,3,"If the outdoor very fine dust level is 15 or higher, sound the emergency siren.","바깥의 초미세먼지 농도가 15 이상이면, 긴급 사이렌을 울려줘.",IfOutdoorVeryFineDustLevelIs15Or,service_list_ver2.0.1.json,"if ((#WeatherProvider).weatherprovider_pm25weather >= 15) {

    (#Siren).siren_setsirenmode(""emergency"")

}","if ((#WeatherProvider).weatherprovider_pm25weather >= 15) {
  (#Siren).siren_setsirenmode(""emergency"")
}",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"WeatherProvider, Siren, Door, AirQualitySensor, SoundSensor, SmokeDetector, AirPurifier, CarbonDioxideSensor, ArmRobot, RobotVacuumCleaner",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""WeatherProvider"", ""Siren"", ""Door"", ""AirQualitySensor"", ""SoundSensor"", ""SmokeDetector"", ""AirPurifier"", ""CarbonDioxideSensor"", ""ArmRobot"", ""RobotVacuumCleaner""]","[""WeatherProvider"", ""Siren"", ""Door"", ""AirQualitySensor"", ""SoundSensor"", ""SmokeDetector"", ""AirPurifier"", ""CarbonDioxideSensor"", ""ArmRobot"", ""RobotVacuumCleaner""]",26156,66,26222,2.2207,3.2027,11807.9885,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""WeatherProvider"", ""Siren"", ""Door"", ""AirQualitySensor"", ""SoundSensor"", ""SmokeDetector"", ""AirPurifier"", ""CarbonDioxideSensor"", ""ArmRobot"", ""RobotVacuumCleaner""]",
68,3,"If the charger current is 10 amperes or above, sound the emergency siren.","충전기의 전류가 10암페어 이상이면, 긴급 사이렌을 울려줘.",IfChargerCurrentIs10AmperesOrAboveSound,service_list_ver2.0.1.json,"if ((#Charger).charger_current >= 10) {

    (#Siren).siren_setsirenmode(""emergency"")

}","if ((#Charger).charger_current >= 10) {
  (#Siren).siren_setsirenmode(""emergency"")
}",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Siren, Charger, ArmRobot, SoundSensor, Plug, PresenceVitalSensor, Pump, Safe, CarbonDioxideSensor, PressureSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Siren"", ""Charger"", ""ArmRobot"", ""SoundSensor"", ""Plug"", ""PresenceVitalSensor"", ""Pump"", ""Safe"", ""CarbonDioxideSensor"", ""PressureSensor""]","[""Siren"", ""Charger"", ""ArmRobot"", ""SoundSensor"", ""Plug"", ""PresenceVitalSensor"", ""Pump"", ""Safe"", ""CarbonDioxideSensor"", ""PressureSensor""]",25712,62,25774,2.2853,3.2838,11278.1692,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Siren"", ""Charger"", ""ArmRobot"", ""SoundSensor"", ""Plug"", ""PresenceVitalSensor"", ""Pump"", ""Safe"", ""CarbonDioxideSensor"", ""PressureSensor""]",
69,3,"If the pump is in normal mode, set it to maximum mode.",펌프가 노말 모드이면 맥시멈 모드로 설정해줘.,IfPumpIsInNormalModeSetItTo,service_list_ver2.0.1.json,"if ((#Pump).pump_pumpmode == ""normal"") {

    (#Pump).pump_setpumpmode(""maximum"")

}","if ((#Pump).pump_pumpmode == ""normal"") {
  (#Pump).pump_setpumpmode(""maximum"")
}",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Pump, ArmRobot, RobotVacuumCleaner, Oven, Charger, Valve, Button, Plug, Dishwasher, PressureSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Pump"", ""ArmRobot"", ""RobotVacuumCleaner"", ""Oven"", ""Charger"", ""Valve"", ""Button"", ""Plug"", ""Dishwasher"", ""PressureSensor""]","[""Pump"", ""ArmRobot"", ""RobotVacuumCleaner"", ""Oven"", ""Charger"", ""Valve"", ""Button"", ""Plug"", ""Dishwasher"", ""PressureSensor""]",25880,57,25937,1.8769,2.8703,13819.0633,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Pump"", ""ArmRobot"", ""RobotVacuumCleaner"", ""Oven"", ""Charger"", ""Valve"", ""Button"", ""Plug"", ""Dishwasher"", ""PressureSensor""]",
70,3,"If the speaker is playing, stop it.","스피커가 재생중이면, 멈춰줘.",IfSpeakerIsPlayingStopIt,service_list_ver2.0.1.json,"if ((#Speaker).speaker_playbackstate == ""playing"") {

    (#Speaker).speaker_stop()

}","if ((#Speaker).speaker_playbackstate == ""playing"") {
  (#Speaker).speaker_stop()
}",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Speaker, AudioRecorder, SoundSensor, ArmRobot, Siren, Television, TapDialSwitch, Switch, PresenceVitalSensor, PresenceSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Speaker"", ""AudioRecorder"", ""SoundSensor"", ""ArmRobot"", ""Siren"", ""Television"", ""TapDialSwitch"", ""Switch"", ""PresenceVitalSensor"", ""PresenceSensor""]","[""Speaker"", ""AudioRecorder"", ""SoundSensor"", ""ArmRobot"", ""Siren"", ""Television"", ""TapDialSwitch"", ""Switch"", ""PresenceVitalSensor"", ""PresenceSensor""]",27248,53,27301,1.6409,2.6252,16637.8207,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""AudioRecorder"", ""SoundSensor"", ""ArmRobot"", ""Siren"", ""Television"", ""TapDialSwitch"", ""Switch"", ""PresenceVitalSensor"", ""PresenceSensor""]",
