row_no,category,command_eng,command_kor,gt_code,generated_code,det_score,det_pass,det_profile,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,failure_reasons,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories,generation_error_type
1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")","(#Dishwasher).setdishwashermode(""dry"")",99.4569,True,strict,False,0.891379,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",10956,51,11007,13.0961,20.9032,840.4792,16.2388,service_retrieval_fallback,10,used,hybrid,10,"[""Dishwasher"", ""LaundryDryer"", ""DimmerSwitch"", ""Dehumidifier"", ""Switch"", ""AirPurifier"", ""RiceCooker"", ""AirConditioner"", ""Oven"", ""Humidifier""]",
2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,(#Oven).Oven_AddMoreTime(300),,21.5,False,strict,False,0.3,0.0,0.0,1.0,0.0,1.0,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding"", ""precondition"", ""semantic"", ""service_match""]",11448,6,11454,1.9471,5.2214,5882.5946,16.3312,service_retrieval_fallback,10,used,hybrid,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""LaundryDryer"", ""Clock"", ""AirConditioner"", ""Button"", ""TemperatureSensor"", ""Door""]",
3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,"(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)",,16.5,False,strict,False,0.3,0.0,0.0,1.0,0.0,0.0,"[""arg_type"", ""enum_grounding"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding"", ""precondition"", ""semantic"", ""service_match""]",10773,6,10779,1.8444,5.1632,5844.177,16.2089,service_retrieval_fallback,10,used,hybrid,10,"[""RiceCooker"", ""Oven"", ""Dishwasher"", ""RobotVacuumCleaner"", ""FaceRecognizer"", ""AudioRecorder"", ""CarbonDioxideSensor"", ""MenuProvider"", ""Charger"", ""Siren""]",
4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,"(#Siren).Siren_SetSirenMode(""emergency"")","(#Siren).siren_setsirenmode(""emergency"")",99.775,True,strict,False,0.955,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",10920,48,10968,2.9926,6.305,3665.0404,16.233,service_retrieval_fallback,10,used,hybrid,10,"[""Siren"", ""SoundSensor"", ""AudioRecorder"", ""Speaker"", ""Pump"", ""Oven"", ""Safe"", ""ArmRobot"", ""RiceCooker"", ""PressureSensor""]",
5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,(#Speaker).Speaker_SetVolume(30),(#Speaker).setvolume(30),98.3179,True,strict,False,0.903571,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",11580,42,11622,2.9721,6.2306,3910.3664,16.3567,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""Television"", ""Pump"", ""PressureSensor"", ""AirPurifier"", ""CloudServiceProvider"", ""LevelControl""]",
6,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,(#Television).Television_ChannelDown(),(#Television).television_channeldown(),97.8224,True,strict,False,0.964474,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",11684,45,11729,3.0742,6.3095,3815.3015,16.3743,service_retrieval_fallback,10,used,hybrid,10,"[""Television"", ""DimmerSwitch"", ""Speaker"", ""TapDialSwitch"", ""Dishwasher"", ""Camera"", ""Switch"", ""LevelControl"", ""Valve"", ""Dehumidifier""]",
7,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,(#Television).Television_SetChannel(7),,21.5,False,strict,False,0.3,0.0,0.0,1.0,0.0,1.0,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding"", ""precondition"", ""semantic"", ""service_match""]",11558,34,11592,2.7352,6.0163,4238.0813,16.3546,service_retrieval_fallback,10,used,hybrid,10,"[""Television"", ""Switch"", ""TapDialSwitch"", ""LevelControl"", ""DimmerSwitch"", ""Valve"", ""Dishwasher"", ""Speaker"", ""Camera"", ""ColorControl""]",
8,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")",,16.5,False,strict,False,0.3,0.0,0.0,0.0,1.0,1.0,"[""arg_type"", ""dataflow"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""precondition"", ""semantic"", ""service_match""]",12004,33,12037,2.7718,6.0583,4342.6654,16.4341,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""TemperatureSensor"", ""AirConditioner"", ""WeatherProvider"", ""AudioRecorder"", ""SoundSensor"", ""PresenceVitalSensor"", ""AirQualitySensor"", ""Siren"", ""Television""]",
9,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")",,16.5,False,strict,False,0.3,0.0,0.0,0.0,1.0,1.0,"[""arg_type"", ""dataflow"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""precondition"", ""semantic"", ""service_match""]",11929,35,11964,2.8126,6.0755,4253.7154,16.4265,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""TemperatureSensor"", ""WeatherProvider"", ""AirConditioner"", ""SoundSensor"", ""AudioRecorder"", ""AirQualitySensor"", ""Siren"", ""PresenceVitalSensor"", ""AirPurifier""]",
10,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")",,16.5,False,strict,False,0.3,0.0,0.0,0.0,1.0,1.0,"[""arg_type"", ""dataflow"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""precondition"", ""semantic"", ""service_match""]",11342,35,11377,2.6941,5.9889,4222.9316,16.3142,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""HumiditySensor"", ""SoundSensor"", ""WeatherProvider"", ""AirQualitySensor"", ""AudioRecorder"", ""Humidifier"", ""AirPurifier"", ""Plug"", ""Charger""]",
