row_no,category,row_category,command_eng,command_kor,gt,gt_name,gt_cron,gt_period,gt_code,warmup_excluded,qwen25_coder_14b__det_score,qwen25_coder_14b__det_pass,qwen25_coder_14b__det_profile,qwen25_coder_14b__det_gt_exact,qwen25_coder_14b__det_gt_similarity,qwen25_coder_14b__det_gt_service_coverage,qwen25_coder_14b__det_gt_service_precision,qwen25_coder_14b__det_gt_receiver_coverage,qwen25_coder_14b__det_dataflow_score,qwen25_coder_14b__det_numeric_grounding,qwen25_coder_14b__det_enum_grounding,qwen25_coder_14b__failure_reasons,qwen25_coder_14b__output,qwen25_coder_14b__output_name,qwen25_coder_14b__output_cron,qwen25_coder_14b__output_period,qwen25_coder_14b__output_code,qwen25_coder_14b__prompt_chars,qwen25_coder_14b__prompt_tokens,qwen25_coder_14b__completion_tokens,qwen25_coder_14b__total_tokens,qwen25_coder_14b__llm_latency_sec,qwen25_coder_14b__total_pipeline_sec,qwen25_coder_14b__tokens_per_sec,qwen25_coder_14b__peak_vram_gb,qwen25_coder_14b__generation_error_type,qwen25_coder_14b__oom_flag,qwen25_coder_14b__worker_python,qwen25_coder_14b__resolved_model_path,qwen25_coder_14b__service_list_snippet_source,qwen25_coder_14b__service_list_device_count,qwen25_coder_14b__service_list_retrieval_status,qwen25_coder_14b__service_list_retrieval_mode,qwen25_coder_14b__service_list_retrieval_topk,qwen25_coder_14b__service_list_retrieval_categories,qwen25_coder_14b__prompt_render_mode,qwen25_coder_14b__prompt_assets_dir,qwen25_coder_14b__warmup_excluded,qwen25_coder_14b__row_category
1,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).dishwasher_setdishwashermode(\""dry\"")""}",,,0,"(#Dishwasher).dishwasher_setdishwashermode(""dry"")",False,21.5,False,strict,False,0.3,0.0,0.0,0.0,1.0,1.0,0.0,"[""arg_type"", ""enum_grounding"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""SwitchDishwasherToDryMode"",""cron"":"""",""period"":0,""code"":""""}",SwitchDishwasherToDryMode,,0,,193682,41926,37,41963,12.8296,14.7044,3270.7957,40.0586,,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,/root/llm/JOILang-Server/gpt_mg/version0_13,False,1
2,1,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).oven_addmoretime(300)""}",,,0,(#Oven).oven_addmoretime(300),False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""Add5MinutesToOven"",""cron"":"""",""period"":0,""code"":""(#Oven).oven_addmoretime(300)""}",Add5MinutesToOven,,0,(#Oven).oven_addmoretime(300),193673,41927,49,41976,13.521,15.4094,3104.5041,40.0588,,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,/root/llm/JOILang-Server/gpt_mg/version0_13,False,1
3,1,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).ricecooker_setcookingparameters(\""cooking\"", 1800)""}",,,0,"(#RiceCooker).ricecooker_setcookingparameters(""cooking"", 1800)",False,16.5,False,strict,False,0.3,0.0,0.0,0.0,1.0,0.0,0.0,"[""arg_type"", ""enum_grounding"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""StartRiceCookerInCookingMode"",""cron"":"""",""period"":0,""code"":""""}",StartRiceCookerInCookingMode,,0,,193702,41935,39,41974,12.9751,14.8505,3234.9654,40.0632,,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,/root/llm/JOILang-Server/gpt_mg/version0_13,False,1
4,1,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).siren_setsirenmode(\""emergency\"")""}",,,0,"(#Siren).siren_setsirenmode(""emergency"")",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""SetSirenToEmergencyMode"",""cron"":"""",""period"":0,""code"":""(#Siren).siren_setsirenmode(\""emergency\"")""}",SetSirenToEmergencyMode,,0,"(#Siren).siren_setsirenmode(""emergency"")",193676,41926,49,41975,13.5703,15.4499,3093.152,40.0586,,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,/root/llm/JOILang-Server/gpt_mg/version0_13,False,1
5,1,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).speaker_setvolume(30)""}",,,0,(#Speaker).speaker_setvolume(30),False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""SetSpeakerVolume"",""cron"":"""",""period"":0,""code"":""(#Speaker).speaker_setvolume(30)""}",SetSpeakerVolume,,0,(#Speaker).speaker_setvolume(30),193677,41931,43,41974,13.2193,15.1017,3175.2059,40.0596,,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,/root/llm/JOILang-Server/gpt_mg/version0_13,False,1
31,2,2,Set the living room light to yellow.,거실 조명을 노란색으로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).colorcontrol_setcolor(\""255,255,0\"")""}",,,0,"(#LivingRoom #Light).colorcontrol_setcolor(""255,255,0"")",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""SetLivingRoomLightToYellow"",""cron"":"""",""period"":0,""code"":""(#LivingRoom #Light).light_movetorgb(255, 255, 0)""}",SetLivingRoomLightToYellow,,0,"(#LivingRoom #Light).light_movetorgb(255, 255, 0)",67573,15690,60,15750,5.2178,7.0727,3018.5135,32.2131,,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],blocks,/root/llm/JOILang-Server/gpt_mg/version0_13,False,2
32,2,2,Capture an image of the meeting room with the camera.,카메라로 회의실 사진을 촬영해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#MeetingRoom #Camera).camera_captureimage()""}",,,0,(#MeetingRoom #Camera).camera_captureimage(),False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""CaptureMeetingRoomImage"",""cron"":"""",""period"":0,""code"":""(#MeetingRoom #Camera).camera_captureimage()""}",CaptureMeetingRoomImage,,0,(#MeetingRoom #Camera).camera_captureimage(),54228,13001,44,13045,3.9071,5.7893,3338.7935,31.4069,,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],blocks,/root/llm/JOILang-Server/gpt_mg/version0_13,False,2
33,2,2,Set the brightness of the living room light to 80%.,거실 조명의 밝기를 80%로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).light_movetobrightness(80, 0)""}",,,0,"(#LivingRoom #Light).light_movetobrightness(80, 0)",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""SetLivingRoomLightBrightness"",""cron"":"""",""period"":0,""code"":""(#LivingRoom #Light).light_movetobrightness(80, 0)""}",SetLivingRoomLightBrightness,,0,"(#LivingRoom #Light).light_movetobrightness(80, 0)",63969,14950,53,15003,4.7493,6.6019,3158.9919,31.9895,,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],blocks,/root/llm/JOILang-Server/gpt_mg/version0_13,False,2
34,2,2,Set all dehumidifiers in the lab to AI drying mode.,연구실 제습기를 모두 AI건조모드로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(\""AIDrying\"")""}",,,0,"all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(""AIDrying"")",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""SetAllLabDehumidifiersToAIDryingMode"",""cron"":"""",""period"":0,""code"":""all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(\""AIDrying\"")""}",SetAllLabDehumidifiersToAIDryingMode,,0,"all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(""AIDrying"")",52585,12964,67,13031,4.7405,6.5953,2748.8662,31.3984,,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],blocks,/root/llm/JOILang-Server/gpt_mg/version0_13,False,2
35,2,2,Set the hue of the living room light to 240 and the saturation to 80.,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).light_movetohueandsaturation(240, 80)""}",,,0,"(#LivingRoom #Light).light_movetohueandsaturation(240, 80)",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""SetLivingRoomLightHueAndSaturation"",""cron"":"""",""period"":0,""code"":""(#LivingRoom #Light).light_movetohueandsaturation(240, 80)""}",SetLivingRoomLightHueAndSaturation,,0,"(#LivingRoom #Light).light_movetohueandsaturation(240, 80)",63995,14959,62,15021,5.0911,6.9392,2950.4429,31.9921,,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],blocks,/root/llm/JOILang-Server/gpt_mg/version0_13,False,2
