row_no,category,command_eng,command_kor,gt_name_display,service_list_schema,gt_code,generated_code,det_score,det_pass,det_profile,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,failure_reasons,service_list_retrieval_categories_display,prompt_context_mode,prompt_context_note,prompt_context_effective_topk,prompt_context_injected_categories,prompt_context_displayed_categories,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories,generation_error_type
62,3,Stop charging if the voltage is 220V or higher.,"충전 전압이 220볼트 이상이면, 충전을 멈춰줘.",StopChargingIfVoltageIs220VOrHigher,service_list_ver2.0.1.json,"if ((#Charger).charger_voltage >= 220000) {

    (#Charger).switch_off()

}","if ((#Charger).charger_voltage >= 220.0) {
  (#Charger).safe_lock()
}",61.2484,False,strict,False,0.809677,0.5,0.5,0.2,0.0,1.0,"[""dataflow"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding"", ""semantic""]","Charger, Plug, CarbonDioxideSensor, PresenceVitalSensor, WindowCovering, AudioRecorder, Pump, Safe, ArmRobot, TapDialSwitch",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Charger"", ""Plug"", ""CarbonDioxideSensor"", ""PresenceVitalSensor"", ""WindowCovering"", ""AudioRecorder"", ""Pump"", ""Safe"", ""ArmRobot"", ""TapDialSwitch""]","[""Charger"", ""Plug"", ""CarbonDioxideSensor"", ""PresenceVitalSensor"", ""WindowCovering"", ""AudioRecorder"", ""Pump"", ""Safe"", ""ArmRobot"", ""TapDialSwitch""]",20359,60,20419,2.0789,3.2192,9822.0213,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Charger"", ""Plug"", ""CarbonDioxideSensor"", ""PresenceVitalSensor"", ""WindowCovering"", ""AudioRecorder"", ""Pump"", ""Safe"", ""ArmRobot"", ""TapDialSwitch""]",
63,3,"If the cloud service is activated, upload test.png file to the cloud.","클라우드 서비스가 활성화되어있으면, test.png 파일을 클라우드에 업로드해줘.",IfCloudServiceIsActivatedUploadTestPngFile,service_list_ver2.0.1.json,"if ((#CloudServiceProvider).cloudserviceprovider_isavailable == true) {

    (#CloudServiceProvider).cloudserviceprovider_uploadfile(""test.png"")

}","if ((#CloudServiceProvider).cloudserviceprovider_chatsession != """") {
  (#CloudServiceProvider).cloudserviceprovider_uploadfile(""test.png"")
}",69.9,False,strict,False,0.831343,0.5,0.5,1.0,1.0,1.0,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","CloudServiceProvider, WeatherProvider, LevelControl, MenuProvider, EmailProvider, AirPurifier, Charger, Button, Pump, Plug",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""CloudServiceProvider"", ""WeatherProvider"", ""LevelControl"", ""MenuProvider"", ""EmailProvider"", ""AirPurifier"", ""Charger"", ""Button"", ""Pump"", ""Plug""]","[""CloudServiceProvider"", ""WeatherProvider"", ""LevelControl"", ""MenuProvider"", ""EmailProvider"", ""AirPurifier"", ""Charger"", ""Button"", ""Pump"", ""Plug""]",20975,68,21043,2.0615,3.1273,10207.6158,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""CloudServiceProvider"", ""WeatherProvider"", ""LevelControl"", ""MenuProvider"", ""EmailProvider"", ""AirPurifier"", ""Charger"", ""Button"", ""Pump"", ""Plug""]",
64,3,"If the oven is in grill mode, add 4 more minutes.","오븐이 그릴 모드이면, 시간을 4분 더 추가해줘",IfOvenIsInGrillModeAdd4More,service_list_ver2.0.1.json,"if ((#Oven).oven_ovenmode == ""grill"") {

    (#Oven).oven_addmoretime(240)

}","if ((#Oven).oven_ovenmode == ""grill"") {
  (#Oven).oven_addmoretime(4)
}",69.9,False,strict,False,0.992969,1.0,1.0,0.2,0.0,1.0,"[""dataflow"", ""gt_mismatch"", ""numeric_grounding""]","Oven, RiceCooker, MenuProvider, Dishwasher, Siren, Clock, DimmerSwitch, AirConditioner, Plug, SmokeDetector",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""Siren"", ""Clock"", ""DimmerSwitch"", ""AirConditioner"", ""Plug"", ""SmokeDetector""]","[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""Siren"", ""Clock"", ""DimmerSwitch"", ""AirConditioner"", ""Plug"", ""SmokeDetector""]",20511,67,20578,2.9024,3.8467,7089.9945,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""Siren"", ""Clock"", ""DimmerSwitch"", ""AirConditioner"", ""Plug"", ""SmokeDetector""]",
74,3,"If the button is in the pushed state, raise the blind.","버튼이 눌려진 상태면, 블라인드를 올려줘.",IfButtonIsInPushedStateRaise,service_list_ver2.0.1.json,"if ((#Button).button_button == ""pushed"") {

    (#Blind).windowcovering_uporopen()

}","if ((#Button).button_button == ""pushed"") {
  (#Blind).blind_open()
}",59.2874,False,strict,False,0.817481,0.5,0.5,0.0,1.0,1.0,"[""arg_type"", ""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""semantic"", ""service_match"", ""unknown_service:blind_open""]","Button, DimmerSwitch, TapDialSwitch, PresenceVitalSensor, ContactSensor, Safe, Plug, PresenceSensor, Charger, ArmRobot",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Button"", ""DimmerSwitch"", ""TapDialSwitch"", ""PresenceVitalSensor"", ""ContactSensor"", ""Safe"", ""Plug"", ""PresenceSensor"", ""Charger"", ""ArmRobot""]","[""Button"", ""DimmerSwitch"", ""TapDialSwitch"", ""PresenceVitalSensor"", ""ContactSensor"", ""Safe"", ""Plug"", ""PresenceSensor"", ""Charger"", ""ArmRobot""]",19813,54,19867,2.4294,3.4472,8177.7394,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Button"", ""DimmerSwitch"", ""TapDialSwitch"", ""PresenceVitalSensor"", ""ContactSensor"", ""Safe"", ""Plug"", ""PresenceSensor"", ""Charger"", ""ArmRobot""]",
76,3,"If face recognition at the entrance is off, start it.","입구의 얼굴 인식이 꺼져있으면, 얼굴 인식을 시작해줘",IfFaceRecognitionAtEntranceIsOffStartIt,service_list_ver2.0.1.json,"if ((#Entrance #FaceRecognizer).switch_switch == false) {

    (#Entrance #FaceRecognizer).facerecognizer_start()

}","if ((#FaceRecognizer).facerecognizer_recognizedresult == ""off"") {
  (#FaceRecognizer).facerecognizer_start()
}",63.5886,False,strict,False,0.717718,0.5,0.5,0.2,1.0,1.0,"[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""precondition"", ""semantic""]",not used (connected_devices scope),connected_devices scope,"Prompt context came from connected_devices, so retrieval was skipped. 2 connected-device category group(s) were injected.",0,"[""FaceRecognizer"", ""Switch""]","[""FaceRecognizer"", ""Switch""]",16949,59,17008,1.7855,1.7937,9525.6231,0.0,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
77,3,"If the shade is closed to 30% or less, close it to 50%.","쉐이드가 30%이하로 닫혀있으면, 50%만큼 닫아줘.",IfShadeIsClosedTo30OrLessClose,service_list_ver2.0.1.json,"if ((#Shade).armrobot_currentposition <= 30) {

    (#Shade).windowcovering_setlevel(50)

}","if ((#WindowCovering).windowcovering_windowcoveringtype == ""shade"" and (#WindowCovering).windowcovering_currentposition <= 30) {
  (#WindowCovering).windowcovering_setlevel(50)
}",61.8872,False,strict,False,0.677439,0.5,0.5,0.2,1.0,1.0,"[""dataflow"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""semantic""]",not used (connected_devices scope),connected_devices scope,"Prompt context came from connected_devices, so retrieval was skipped. 1 connected-device category group(s) were injected.",0,"[""WindowCovering""]","[""WindowCovering""]",16792,79,16871,5.5978,5.6054,3013.8626,0.0,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
78,3,"If the sound sensor level in livingroom is over 50, stop the speaker.","거실의 소리 센서로 감지한 수치가 50보다 크면, 스피커 재생을 멈춰줘.",IfSoundSensorLevelInLivingroomIsOver50,service_list_ver2.0.1.json,"if ((#LivingRoom #SoundSensor).soundsensor_sound > 50) {

    (#LivingRoom #Speaker).speaker_stop()

}","if ((#SoundSensor #livingroom).soundsensor_sound > 50) {
  (#Speaker #livingroom).speaker_stop()
}",69.9,False,strict,False,0.88,1.0,1.0,0.2,1.0,1.0,"[""dataflow"", ""gt_mismatch""]",not used (connected_devices scope),connected_devices scope,"Prompt context came from connected_devices, so retrieval was skipped. 2 connected-device category group(s) were injected.",0,"[""SoundSensor"", ""Speaker""]","[""SoundSensor"", ""Speaker""]",17292,61,17353,2.2179,2.2255,7824.0678,0.0,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],
79,3,"If the air conditioner is in cool mode, switch it to auto mode.","거실의 에어컨 모드가 냉방 모드이면, 자동 모드로 바꿔줘.",IfAirConditionerIsInCoolModeSwitchIt,service_list_ver2.0.1.json,"if ((#LivingRoom #AirConditioner).airconditioner_airconditionermode == ""cool"") {

    (#LivingRoom #AirConditioner).airconditioner_setairconditionermode(""auto"")

}","if ((#AirConditioner).airconditioner_airconditionermode == ""cool"") {
  (#AirConditioner).airconditioner_setairconditionermode(""auto"")
}",69.9,False,strict,False,0.961151,1.0,1.0,0.2,1.0,1.0,"[""dataflow"", ""gt_mismatch""]",not used (connected_devices scope),connected_devices scope,"Prompt context came from connected_devices, so retrieval was skipped. 1 connected-device category group(s) were injected.",0,"[""AirConditioner""]","[""AirConditioner""]",16609,74,16683,5.5789,5.5862,2990.3744,0.0,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
80,3,"If any presence sensor in the house is currently in the detected state, set the siren to emergency mode.","집에 있는 재실 센서중 하나라도 감지 상태이면, 긴급 사이렌을 울려줘.",IfAnyPresenceSensorInHouseIsCurrentlyIn,service_list_ver2.0.1.json,"if (all(#House #PresenceSensor).presencesensor_presence ==| true) {

    (#Siren).siren_setsirenmode(""emergency"")

}","if (any(#PresenceSensor).presencesensor_presence == true) {
  (#Siren).siren_setsirenmode(""emergency"")
}",69.9,False,strict,False,0.820896,1.0,1.0,0.2,1.0,1.0,"[""dataflow"", ""gt_mismatch""]",not used (connected_devices scope),connected_devices scope,"Prompt context came from connected_devices, so retrieval was skipped. 2 connected-device category group(s) were injected.",0,"[""PresenceSensor"", ""Siren""]","[""PresenceSensor"", ""Siren""]",16515,66,16581,1.7553,1.7624,9446.2485,0.0,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],
81,3,"If the contact sensor at the entrance is in detected state, sound the emergency siren.","입구의 접촉 센서가 감지 상태이면, 긴급 사이렌을 울려줘.",IfContactSensorAtEntranceIsInDetected,service_list_ver2.0.1.json,"if ((#Entrance #ContactSensor).contactsensor_contact == true) {

    (#Siren).siren_setsirenmode(""emergency"")

}","if ((#ContactSensor).contactsensor_contact == true) {
  (#Siren).siren_setsirenmode(""emergency"")
}",69.9,False,strict,False,0.976316,1.0,1.0,0.2,1.0,1.0,"[""dataflow"", ""gt_mismatch""]",not used (connected_devices scope),connected_devices scope,"Prompt context came from connected_devices, so retrieval was skipped. 2 connected-device category group(s) were injected.",0,"[""ContactSensor"", ""Siren""]","[""ContactSensor"", ""Siren""]",16519,63,16582,2.2628,2.2693,7328.0891,0.0,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
