model_key,model_label,failure_reason,count
gpt41_mini,GPT-4.1-mini,dataflow,23
gpt41_mini,GPT-4.1-mini,gt_mismatch,23
gpt41_mini,GPT-4.1-mini,semantic,9
gpt41_mini,GPT-4.1-mini,gt_receiver_coverage,6
gpt41_mini,GPT-4.1-mini,gt_service_coverage,6
gpt41_mini,GPT-4.1-mini,numeric_grounding,5
gpt41_mini,GPT-4.1-mini,extraneous,4
gpt41_mini,GPT-4.1-mini,service_match,3
gpt41_mini,GPT-4.1-mini,unknown_service:temperaturemeasurement_temperature,2
gpt41_mini,GPT-4.1-mini,arg_type,1
gpt41_mini,GPT-4.1-mini,unknown_service:mediaplayback_speak,1
