model_key,category,generation,genome_id,failure_reason,failure_count,feedback_rule_candidates,validation_avg_det_score,validation_det_pass_rate
gemma2_9b_it,1,1,gene-7d0a4289-5681-bdd4-b374-8e964a11d522,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,1,2,cross-4cbb1fff-cd67-c5fc-7a4e-711796ca29f3,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,1,3,clone-e970c5f0-6c50-f47d-b902-b2040d5b13b1,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,2,1,gene-8a7c368e-df5c-ed9b-f06f-c08ae3500b23,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,2,2,clone-b9fc9029-1cfd-d6ea-2d8a-c3a438395229,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,2,3,clone-b9fc9029-1cfd-d6ea-2d8a-c3a438395229,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,3,1,gene-f6dca78a-1657-6ffb-a55a-8b457497bf8d,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,3,2,gene-f6dca78a-1657-6ffb-a55a-8b457497bf8d,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,3,3,clone-36b4bbbe-d201-fb40-a2c5-8989e8a2a48b,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,4,1,gene-1f51d0da-e4a9-2c3b-67a1-5e9cfaaf321e,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,4,2,clone-46771aad-112a-53c9-9515-4d73b4f6d0b5,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,4,3,clone-46771aad-112a-53c9-9515-4d73b4f6d0b5,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,5,1,gene-35bf909d-c035-9129-7bcf-f24a1e59a22c,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,5,2,clone-586823e5-07b3-64ff-b8c6-faced77e0125,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,5,3,clone-586823e5-07b3-64ff-b8c6-faced77e0125,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,6,1,gene-2783bd6f-2643-40d1-6b93-1e661a497f27,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,6,2,clone-4c747453-0fc5-0de0-dfd9-0a0b39de9c0c,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,6,3,clone-4c747453-0fc5-0de0-dfd9-0a0b39de9c0c,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,7,1,gene-2bdb4d24-6d3b-855d-2f76-0bb5dbc270f8,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,7,2,clone-845512fd-9173-2326-1f63-7b65f8ec0466,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,7,3,clone-845512fd-9173-2326-1f63-7b65f8ec0466,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,8,1,gene-62bc6d4d-6d15-7dbc-d9c4-1f228f2091f3,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,8,2,clone-4594c94f-5ba8-87f5-87f5-76ca8be405df,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
gemma2_9b_it,8,3,clone-31eb0fc8-f422-ba38-72e9-4c1a7e6993e0,invalid_json,4,"The final answer must be a raw JSON object only; no markdown, prose, or code fences.",0.0,0.0
